,Make,Damage_Index,Make_Num_Incidents,Uninjured_P,Injured_P,Died_P,Penalty,Adj_Damage_Index
0,Boeing,2.06973293768546,1348.0,77.37904812813295,13.644690744270607,4.119793731242928,1.0,2.06973293768546
1,Cessna,2.3579173211754343,26101.0,64.28206153935835,35.599169064833056,14.184457426164478,1.0,2.3579173211754343
2,Piper,2.438514596251655,14353.0,58.75056539255662,41.16582839271476,18.580915705210277,1.0,2.438514596251655
3,Bellanca,2.4443359375,1024.0,55.1025390625,44.8974609375,18.953450520833332,1.0,2.4443359375
4,Bell,2.481159420289855,2415.0,52.61285011285011,47.01447907969647,14.632808875044901,1.0,2.481159420289855
5,Grumman,2.502175805047868,1149.0,66.23228671531544,33.76771328468456,9.49517337898539,1.0,2.502175805047868
6,Air Tractor,2.3457076566125292,862.0,59.41608662026295,40.58391337973705,14.365815931941222,1.074250004159222,2.5198764598723282
7,Hughes,2.3857466063348416,884.0,57.882730015082956,42.00414781297134,10.337481146304677,1.0616491081722468,2.532825756940349
8,Mooney,2.534003091190108,1294.0,48.37712519319938,51.46831530139104,26.00978876867594,1.0,2.534003091190108
9,Beech,2.548545597484277,5088.0,54.21752946315088,45.54662148024535,25.92513269634592,1.0,2.548545597484277
10,Maule,2.191304347826087,575.0,76.18840579710145,23.63768115942029,8.75072463768116,1.2766926190923933,2.797622087054636
11,Aeronca,2.2777777777777777,630.0,58.13492063492063,41.70634920634921,10.767195767195767,1.2310177297982794,2.80398482898497
12,Mcdonnel Douglas,2.1814814814814816,540.0,73.00482874899909,24.95813421396388,10.389357107076577,1.3080930697119084,2.853580807630793
13,Schweizer,2.2869415807560136,582.0,64.5761741122566,35.080183276059564,7.674684994272623,1.2706424156253495,2.9058849745658764
14,Champion,2.305389221556886,501.0,59.3812375249501,40.6187624750499,15.335994677312042,1.3455745889486361,3.102073154163023
15,Airbus,2.0221518987341773,316.0,70.35998387158986,10.019762963853179,4.903369561793183,1.5760065326976125,3.186924602511944
16,Stinson,2.2637614678899083,436.0,64.90825688073394,35.091743119266056,7.6452599388379205,1.4150565178165513,3.203350419919578
17,Luscombe,2.2457002457002457,407.0,62.203112203112205,37.7968877968878,11.138411138411138,1.4494710467697711,3.255077485866267
18,Taylorcraft,2.247340425531915,376.0,51.24113475177305,48.75886524822695,12.544326241134753,1.4890830677961213,3.3464765752333046
19,De Havilland,2.292225201072386,373.0,67.25969431267251,32.472209172582176,15.332226104314927,1.4930884296691609,3.4224949259172455
20,Cirrus,2.386861313868613,411.0,50.04866180048662,49.70802919708029,28.629359286293592,1.4445810322429513,3.448014580609088
21,Hiller,2.3392330383480826,339.0,62.88102261553589,37.11897738446411,5.063913470993117,1.5408775858008434,3.6044717567553652
22,Enstrom,2.2743055555555554,288.0,68.02662037037038,31.973379629629633,8.657407407407408,1.6223973994230956,3.6898274188268316
23,Aerospatiale,2.512396694214876,363.0,53.72301610425181,46.00150180208427,17.112470667665473,1.5066762223586432,3.7853683603060126
24,Aero Commander,2.6417910447761193,402.0,50.89966832504146,49.10033167495854,23.756218905472636,1.4556515951815578,3.8455273484647123
25,North American,2.569105691056911,369.0,53.048780487804876,46.951219512195124,28.952122854561882,1.4984793174708049,3.8497517424453203
26,Embraer,2.1237113402061856,194.0,77.1535035521458,18.722785107648008,11.54776184452068,1.8199485599594045,3.8650453953777046
27,Bombardier,1.9999999999999998,135.0,84.81547852008964,4.814151109539988,2.2074074074074073,2.001240250271854,4.002480500543707
28,Rockwell,2.615384615384616,338.0,56.92800788954636,43.07199211045365,21.513806706114398,1.5423546917495592,4.033850732268078
29,Swearingen,2.16875,160.0,79.4313141923436,20.568685807656397,11.395833333333332,1.916290731874155,4.155955524752074
30,Waco,2.121428571428571,140.0,72.61904761904762,27.380952380952383,4.0476190476190474,1.9830564281864165,4.206912565509754
31,Aviat,2.152173913043478,138.0,68.2367149758454,31.763285024154587,9.420289855072463,1.9902507969124663,4.283365845529003
32,Fairchild,2.204225352112676,142.0,68.70288497958566,30.592889668301666,10.865172836670576,1.9759641106904382,4.355470187648642
33,Dehavilland,2.04,100.0,69.41666666666667,30.583333333333336,12.974603174603173,2.151292546497023,4.388636794853927
34,Ayres,2.5520361990950224,221.0,60.85972850678733,38.68778280542986,15.83710407239819,1.7547962887321922,4.478303650882156
35,Grumman American,2.6576576576576576,222.0,44.25675675675676,55.74324324324324,24.66216216216216,1.7525389485549288,4.657648556970306
36,Helio,2.2314814814814814,108.0,83.01066217732885,16.989337822671157,5.864197530864198,2.1128120259289584,4.714700909711842
37,Lake,2.387323943661972,142.0,56.220657276995304,43.779342723004696,10.962441314553992,1.9759641106904382,4.717266433268018
38,Sikorsky,2.5297619047619047,168.0,51.60336356764928,47.80139833711262,14.880952380952381,1.891895649789439,4.786045542622093
39,Schleicher,2.2673267326732676,101.0,48.51485148514851,51.48514851485149,17.821782178217823,2.146317381070439,4.866402774902283
40,Ercoupe Eng & Research Corp,2.5316455696202533,158.0,52.53164556962025,47.46835443037975,18.037974683544302,1.922580122977585,4.867291450576165
41,Globe,2.3085106382978724,94.0,54.43262411347518,45.56737588652482,16.48936170212766,2.1822302483560665,5.037701743545387
42,Ryan,2.418181818181818,110.0,45.60606060606061,54.39393939393939,16.818181818181817,2.1036374565948606,5.086977849583935
43,GrummanSchweizer,2.5039370078740157,127.0,67.71653543307086,32.28346456692913,4.724409448818897,2.031784096261773,5.087459390639714
44,Socata,2.5045045045045047,111.0,45.72072072072072,53.37837837837838,34.44444444444444,2.0991125388349015,5.2572368089738974
45,Weatherly,2.404494382022472,89.0,65.1685393258427,34.831460674157306,10.112359550561798,2.2095594546249986,5.312873295390446
46,Mitsubishi,2.789855072463768,138.0,51.45531400966183,48.54468599033817,38.60133425350817,1.9902507969124663,5.5525112812413004
47,Learjet,2.625,104.0,64.34294871794872,35.657051282051285,25.724637681159418,2.131682189920382,5.595665748541003
48,Wsk Pzl Mielec,2.590909090909091,88.0,52.84090909090909,47.15909090909091,17.613636363636363,2.215209232251965,5.739405738107363
49,Lockheed,3.0740740740740744,27.0,38.888888888888886,61.111111111111114,40.826210826210826,2.805959206488904,8.625726449577002
